ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: ekit_post_views_count","Meta: _siteseo_redirections_type","Meta: _siteseo_redirections_logged_status","Meta: _siteseo_robots_primary_cat","Meta: _wp_old_date"
88,simple,,,"Head Phone",1,0,visible,"Nam metus cillum dignissim assumenda. Voluptas! Ipsa corporis? Bibendum, sociis pharetra id, class metus quisque nobis, dolor reprehenderit exercitation optio mollitia tempus! Augue turpis, eu posuere ullamcorper? Placerat commodi arcu culpa, maxime. Corporis, sunt exercitation.","Cupiditate senectus habitant gravida corrupti vitae augue risus, voluptate. Inceptos massa beatae fermentum, ultrices lacus blandit sed fames atque dicta accusamus quisquam deleniti venenatis? Penatibus impedit cras id libero quisque. Nisl, facilisi nisl, do blandit nostra, beatae tempor dictumst. Ligula dolor quis placeat, conubia dolor. Augue, blandit mollis cupidatat, rem sociosqu incidunt! Porta, ullam! Neque, quidem pede cras anim distinctio hic ornare nemo quaerat, asperiores mollis, debitis, irure, egestas. Rem numquam saepe! Tincidunt egestas! Modi nostra, potenti natoque massa! Morbi auctor! Veniam minus reiciendis expedita, fringilla do iure aptent vero ridiculus magni nam officiis! Amet? Mollitia! Elementum primis rutrum mattis.",,,taxable,,1,,,0,0,,,,,1,,110,120,Uncategorized,"Fashion, Furniture, Technology, Wardrobe, Watch",,"https://shopictgadgets.co.ke/wp-content/uploads/2023/03/product_28.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/k1.jpg",,,,,,,,,0,,,,,,
89,simple,,,"Apple Airbud",1,0,visible,"Nam metus cillum dignissim assumenda. Voluptas! Ipsa corporis? Bibendum, sociis pharetra id, class metus quisque nobis, dolor reprehenderit exercitation optio mollitia tempus! Augue turpis, eu posuere ullamcorper? Placerat commodi arcu culpa, maxime. Corporis, sunt exercitation.","Cupiditate senectus habitant gravida corrupti vitae augue risus, voluptate. Inceptos massa beatae fermentum, ultrices lacus blandit sed fames atque dicta accusamus quisquam deleniti venenatis? Penatibus impedit cras id libero quisque. Nisl, facilisi nisl, do blandit nostra, beatae tempor dictumst. Ligula dolor quis placeat, conubia dolor. Augue, blandit mollis cupidatat, rem sociosqu incidunt! Porta, ullam! Neque, quidem pede cras anim distinctio hic ornare nemo quaerat, asperiores mollis, debitis, irure, egestas. Rem numquam saepe! Tincidunt egestas! Modi nostra, potenti natoque massa! Morbi auctor! Veniam minus reiciendis expedita, fringilla do iure aptent vero ridiculus magni nam officiis! Amet? Mollitia! Elementum primis rutrum mattis.",,,taxable,,1,,,0,0,,,,,1,,,75,Uncategorized,"Fashion, Furniture, Technology, Wardrobe, Watch",,"https://shopictgadgets.co.ke/wp-content/uploads/2023/03/product_30.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/k1.jpg",,,,,,,,,0,,2,,,,
110,simple,,,"Glass Table",1,0,visible,"Nam metus cillum dignissim assumenda. Voluptas! Ipsa corporis? Bibendum, sociis pharetra id, class metus quisque nobis, dolor reprehenderit exercitation optio mollitia tempus! Augue turpis, eu posuere ullamcorper? Placerat commodi arcu culpa, maxime. Corporis, sunt exercitation.","Cupiditate senectus habitant gravida corrupti vitae augue risus, voluptate. Inceptos massa beatae fermentum, ultrices lacus blandit sed fames atque dicta accusamus quisquam deleniti venenatis? Penatibus impedit cras id libero quisque. Nisl, facilisi nisl, do blandit nostra, beatae tempor dictumst. Ligula dolor quis placeat, conubia dolor. Augue, blandit mollis cupidatat, rem sociosqu incidunt! Porta, ullam! Neque, quidem pede cras anim distinctio hic ornare nemo quaerat, asperiores mollis, debitis, irure, egestas. Rem numquam saepe! Tincidunt egestas! Modi nostra, potenti natoque massa! Morbi auctor! Veniam minus reiciendis expedita, fringilla do iure aptent vero ridiculus magni nam officiis! Amet? Mollitia! Elementum primis rutrum mattis.",,,taxable,,1,,,0,0,,,,,1,,,125,Uncategorized,,,https://shopictgadgets.co.ke/wp-content/uploads/2023/03/product_6.jpg,,,,,,,,,0,,,,,,
111,simple,,,"Unicorn Horse",1,0,visible,"Nam metus cillum dignissim assumenda. Voluptas! Ipsa corporis? Bibendum, sociis pharetra id, class metus quisque nobis, dolor reprehenderit exercitation optio mollitia tempus! Augue turpis, eu posuere ullamcorper? Placerat commodi arcu culpa, maxime. Corporis, sunt exercitation.","Cupiditate senectus habitant gravida corrupti vitae augue risus, voluptate. Inceptos massa beatae fermentum, ultrices lacus blandit sed fames atque dicta accusamus quisquam deleniti venenatis? Penatibus impedit cras id libero quisque. Nisl, facilisi nisl, do blandit nostra, beatae tempor dictumst. Ligula dolor quis placeat, conubia dolor. Augue, blandit mollis cupidatat, rem sociosqu incidunt! Porta, ullam! Neque, quidem pede cras anim distinctio hic ornare nemo quaerat, asperiores mollis, debitis, irure, egestas. Rem numquam saepe! Tincidunt egestas! Modi nostra, potenti natoque massa! Morbi auctor! Veniam minus reiciendis expedita, fringilla do iure aptent vero ridiculus magni nam officiis! Amet? Mollitia! Elementum primis rutrum mattis.",,,taxable,,1,,,0,0,,,,,1,,,55,Uncategorized,,,"https://shopictgadgets.co.ke/wp-content/uploads/2023/03/product_2.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/g6.jpg",,,,,,,,,0,,,,,,
112,simple,,,"VR Box Set",1,0,visible,"Nam metus cillum dignissim assumenda. Voluptas! Ipsa corporis? Bibendum, sociis pharetra id, class metus quisque nobis, dolor reprehenderit exercitation optio mollitia tempus! Augue turpis, eu posuere ullamcorper? Placerat commodi arcu culpa, maxime. Corporis, sunt exercitation.","Cupiditate senectus habitant gravida corrupti vitae augue risus, voluptate. Inceptos massa beatae fermentum, ultrices lacus blandit sed fames atque dicta accusamus quisquam deleniti venenatis? Penatibus impedit cras id libero quisque. Nisl, facilisi nisl, do blandit nostra, beatae tempor dictumst. Ligula dolor quis placeat, conubia dolor. Augue, blandit mollis cupidatat, rem sociosqu incidunt! Porta, ullam! Neque, quidem pede cras anim distinctio hic ornare nemo quaerat, asperiores mollis, debitis, irure, egestas. Rem numquam saepe! Tincidunt egestas! Modi nostra, potenti natoque massa! Morbi auctor! Veniam minus reiciendis expedita, fringilla do iure aptent vero ridiculus magni nam officiis! Amet? Mollitia! Elementum primis rutrum mattis.",,,taxable,,1,,,0,0,,,,,1,,70,90,Uncategorized,,,"https://shopictgadgets.co.ke/wp-content/uploads/2023/03/product_23.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/g4.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/g5.jpg",,,,,,,,,0,,,,,,
113,simple,,,Highlighter,1,0,visible,"Nam metus cillum dignissim assumenda. Voluptas! Ipsa corporis? Bibendum, sociis pharetra id, class metus quisque nobis, dolor reprehenderit exercitation optio mollitia tempus! Augue turpis, eu posuere ullamcorper? Placerat commodi arcu culpa, maxime. Corporis, sunt exercitation.","Cupiditate senectus habitant gravida corrupti vitae augue risus, voluptate. Inceptos massa beatae fermentum, ultrices lacus blandit sed fames atque dicta accusamus quisquam deleniti venenatis? Penatibus impedit cras id libero quisque. Nisl, facilisi nisl, do blandit nostra, beatae tempor dictumst. Ligula dolor quis placeat, conubia dolor. Augue, blandit mollis cupidatat, rem sociosqu incidunt! Porta, ullam! Neque, quidem pede cras anim distinctio hic ornare nemo quaerat, asperiores mollis, debitis, irure, egestas. Rem numquam saepe! Tincidunt egestas! Modi nostra, potenti natoque massa! Morbi auctor! Veniam minus reiciendis expedita, fringilla do iure aptent vero ridiculus magni nam officiis! Amet? Mollitia! Elementum primis rutrum mattis.",,,taxable,,1,,,0,0,,,,,1,,,12.50,Uncategorized,,,"https://shopictgadgets.co.ke/wp-content/uploads/2023/03/product_19.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/g4.jpg",,,,,,,,,0,,,,,,
114,simple,,,"Half T-shirt",1,0,visible,"Nam metus cillum dignissim assumenda. Voluptas! Ipsa corporis? Bibendum, sociis pharetra id, class metus quisque nobis, dolor reprehenderit exercitation optio mollitia tempus! Augue turpis, eu posuere ullamcorper? Placerat commodi arcu culpa, maxime. Corporis, sunt exercitation.","Cupiditate senectus habitant gravida corrupti vitae augue risus, voluptate. Inceptos massa beatae fermentum, ultrices lacus blandit sed fames atque dicta accusamus quisquam deleniti venenatis? Penatibus impedit cras id libero quisque. Nisl, facilisi nisl, do blandit nostra, beatae tempor dictumst. Ligula dolor quis placeat, conubia dolor. Augue, blandit mollis cupidatat, rem sociosqu incidunt! Porta, ullam! Neque, quidem pede cras anim distinctio hic ornare nemo quaerat, asperiores mollis, debitis, irure, egestas. Rem numquam saepe! Tincidunt egestas! Modi nostra, potenti natoque massa! Morbi auctor! Veniam minus reiciendis expedita, fringilla do iure aptent vero ridiculus magni nam officiis! Amet? Mollitia! Elementum primis rutrum mattis.",,,taxable,,1,,,0,0,,,,,1,,,15,Uncategorized,,,https://shopictgadgets.co.ke/wp-content/uploads/2023/03/product_15.jpg,,,,,,,,,0,,,,,,
115,simple,,,"Titan Watch",1,0,visible,"Nam metus cillum dignissim assumenda. Voluptas! Ipsa corporis? Bibendum, sociis pharetra id, class metus quisque nobis, dolor reprehenderit exercitation optio mollitia tempus! Augue turpis, eu posuere ullamcorper? Placerat commodi arcu culpa, maxime. Corporis, sunt exercitation.","Cupiditate senectus habitant gravida corrupti vitae augue risus, voluptate. Inceptos massa beatae fermentum, ultrices lacus blandit sed fames atque dicta accusamus quisquam deleniti venenatis? Penatibus impedit cras id libero quisque. Nisl, facilisi nisl, do blandit nostra, beatae tempor dictumst. Ligula dolor quis placeat, conubia dolor. Augue, blandit mollis cupidatat, rem sociosqu incidunt! Porta, ullam! Neque, quidem pede cras anim distinctio hic ornare nemo quaerat, asperiores mollis, debitis, irure, egestas. Rem numquam saepe! Tincidunt egestas! Modi nostra, potenti natoque massa! Morbi auctor! Veniam minus reiciendis expedita, fringilla do iure aptent vero ridiculus magni nam officiis! Amet? Mollitia! Elementum primis rutrum mattis.",,,taxable,,1,,,0,0,,,,,1,,66,98,Uncategorized,,,https://shopictgadgets.co.ke/wp-content/uploads/2023/03/product_10.jpg,,,,,,,,,0,,,,,,
116,simple,,,"Study Chair",1,0,visible,"Nam metus cillum dignissim assumenda. Voluptas! Ipsa corporis? Bibendum, sociis pharetra id, class metus quisque nobis, dolor reprehenderit exercitation optio mollitia tempus! Augue turpis, eu posuere ullamcorper? Placerat commodi arcu culpa, maxime. Corporis, sunt exercitation.","Cupiditate senectus habitant gravida corrupti vitae augue risus, voluptate. Inceptos massa beatae fermentum, ultrices lacus blandit sed fames atque dicta accusamus quisquam deleniti venenatis? Penatibus impedit cras id libero quisque. Nisl, facilisi nisl, do blandit nostra, beatae tempor dictumst. Ligula dolor quis placeat, conubia dolor. Augue, blandit mollis cupidatat, rem sociosqu incidunt! Porta, ullam! Neque, quidem pede cras anim distinctio hic ornare nemo quaerat, asperiores mollis, debitis, irure, egestas. Rem numquam saepe! Tincidunt egestas! Modi nostra, potenti natoque massa! Morbi auctor! Veniam minus reiciendis expedita, fringilla do iure aptent vero ridiculus magni nam officiis! Amet? Mollitia! Elementum primis rutrum mattis.",,,taxable,,1,,,0,0,,,,,1,,,65,Uncategorized,,,"https://shopictgadgets.co.ke/wp-content/uploads/2023/03/product_5.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/g5.jpg",,,,,,,,,0,,,,,,
117,simple,,,"Kids Rocket",1,0,visible,"Nam metus cillum dignissim assumenda. Voluptas! Ipsa corporis? Bibendum, sociis pharetra id, class metus quisque nobis, dolor reprehenderit exercitation optio mollitia tempus! Augue turpis, eu posuere ullamcorper? Placerat commodi arcu culpa, maxime. Corporis, sunt exercitation.","Cupiditate senectus habitant gravida corrupti vitae augue risus, voluptate. Inceptos massa beatae fermentum, ultrices lacus blandit sed fames atque dicta accusamus quisquam deleniti venenatis? Penatibus impedit cras id libero quisque. Nisl, facilisi nisl, do blandit nostra, beatae tempor dictumst. Ligula dolor quis placeat, conubia dolor. Augue, blandit mollis cupidatat, rem sociosqu incidunt! Porta, ullam! Neque, quidem pede cras anim distinctio hic ornare nemo quaerat, asperiores mollis, debitis, irure, egestas. Rem numquam saepe! Tincidunt egestas! Modi nostra, potenti natoque massa! Morbi auctor! Veniam minus reiciendis expedita, fringilla do iure aptent vero ridiculus magni nam officiis! Amet? Mollitia! Elementum primis rutrum mattis.",,,taxable,,1,,,0,0,,,,,1,,,25,Uncategorized,,,"https://shopictgadgets.co.ke/wp-content/uploads/2023/03/product_1.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/g4.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/g5.jpg",,,,,,,,,0,,,,,,
259,simple,,,"Lenovo Ideapad 5, 2 in 1  Core i7, 16 Gb RAM, 512GB SSD",1,0,visible,"Ideapad 5, 2 in 1
\nCore i7, 13th generation
\n16 GB RAM
\n512 Gb SSD
\nWith stylus pen
\nTouchscreen X360 2 in 1",,,,taxable,,1,,,0,0,,,,,1,,,105000,"Laptops > Brand New, Laptops",,,"https://shopictgadgets.co.ke/wp-content/uploads/2026/01/Untitled-design-6.png, https://shopictgadgets.co.ke/wp-content/uploads/2026/01/Lenovo-IdeaPad-5-2-in-1-14IRH9-3.jpeg, https://shopictgadgets.co.ke/wp-content/uploads/2026/01/Untitled-design-2025-10-13T093830258.webp",,,,,,,,,0,,11,301,both,,
266,simple,,,"Lenovo Ideapad",1,0,visible,"<h6><strong>Processor: Intel Core i7-13620H (13th Gen, up to 4.9 GHz)</strong>
\n
\n<strong>RAM: 16GB LPDDR5x-5200 (soldered, high-speed)</strong>
\n
\n<strong>Storage: 512GB PCIe® 4.0 NVMe® SSD (fast boot and app load)</strong></h6>",,,,taxable,,1,,,0,0,,,,,1,,,105000,"Laptops > EX-UK, Laptops",,,"https://shopictgadgets.co.ke/wp-content/uploads/2026/02/a1.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/a2.jpg",,,,,,,,,0,Lenovo,6,301,both,,
271,simple,,,"Lenovo Ideapad 5 2 in 1  Core i5 13th gen",1,0,visible,"<strong>Lenovo Ideapad 5 2 in 1 </strong>
\n
\n<strong>Core i5 13th generation </strong>
\n
\n<strong>8 Gb ram </strong>
\n
\n<strong>512 Gb ssd Touchscreen X360 2 in 1 14 inch</strong>",,,,taxable,,1,,,0,0,,,,,1,,,79999,"Laptops > EX-UK, Laptops",,,"https://shopictgadgets.co.ke/wp-content/uploads/2026/02/b1.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/b2.jpg",,,,,,,,,0,Lenovo,13,301,both,,
276,simple,,,"Lenovo Ideapad slim16 Gb ram 512 Gb",1,0,visible,"<strong>Lenovo Ideapad slim 3</strong>
\n<strong>Core i7 13th generation </strong>
\n<strong>16 Gb ram </strong>
\n<strong>512 Gb ssd </strong>
\n<strong>14 inch </strong>",,,,taxable,,1,,,0,0,,,,,1,,,95000,Laptops,,,"https://shopictgadgets.co.ke/wp-content/uploads/2026/02/c1.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/c2.jpg",,,,,,,,,0,Lenovo,7,301,both,,
281,simple,,,"Lenovo Ideapad slim 3 8 Gb ram 512 Gb",1,0,visible,"<strong>Lenovo Ideapad slim 3 </strong>
\n<strong>Core i5 13th generation </strong>
\n<strong>8 Gb ram </strong>
\n<strong>512 Gb ssd </strong>
\n<strong>14 inch</strong>",,,,taxable,,1,,,0,0,,,,,1,,,79000,Laptops,,,"https://shopictgadgets.co.ke/wp-content/uploads/2026/02/d1.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/d2.jpg",,,,,,,,,0,Lenovo,9,301,both,,
286,simple,,,"OMNIBOOK 32gb ram /2tb  16inch",1,0,visible,"<strong>Core Ultra 9 </strong>
\n<strong>32gb ram /2tb </strong>
\n<strong>16inch </strong>
\n<strong>Touchscreen X360 2 in 1</strong>",,,,taxable,,1,,,0,0,,,,,1,,,190000,"Laptops > EX-UK, Laptops",,,https://shopictgadgets.co.ke/wp-content/uploads/2026/02/e1.jpg,,,,,,,,,0,OMNIBOOK,9,301,both,37,
290,simple,,,"OMNIBOOK 14” 16gb ram / 1tb ssd",1,0,visible,"<strong>Core Ultra Flip 7 </strong>
\n<strong>16gb ram </strong>
\n
\n<strong> 1tb ssd replacement of spectre 14inch Touchscreen X360 2 in 1</strong>",,,,taxable,,1,,,0,0,,,,,1,,,195000,"Laptops > EX-UK, Laptops",,,"https://shopictgadgets.co.ke/wp-content/uploads/2026/02/f1.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/f2.jpg",,,,,,,,,0,OMNIBOOK,5,301,both,,
295,simple,,,"OMNIBOOK 14”  X Flip 16gb ram / 1tb ssd",1,0,visible,"<strong>Core Ultra 7 </strong>
\n<strong>16gb ram </strong><strong>1tb ssd 14 inch </strong>
\n<strong>Touchscreen X360 2 in 1</strong>",,,,taxable,,1,,,0,0,,,,,1,,,130000,"Laptops > EX-UK, Laptops",,,"https://shopictgadgets.co.ke/wp-content/uploads/2026/02/g1.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/g2.jpg",,,,,,,,,0,OMNIBOOK,3,301,both,,
300,simple,,,"OMNIBOOK 16” X Flip Ultra7 16gb ram /1tb ssd",1,0,visible,"<strong>16gb ram </strong>
\n
\n<strong>1tb ssd </strong>
\n
\n<strong>16 inch Touchscreen X360 2 in 1</strong>",,,,taxable,,1,,,0,0,,,,,1,,,135000,"Laptops > EX-UK, Laptops",,,"https://shopictgadgets.co.ke/wp-content/uploads/2026/02/h1.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/h2.jpg",,,,,,,,,0,OMNIBOOK,14,301,both,,
305,simple,,,"OMNIBOOK Flip 5 Core 7 16gb ram / 512 ssd",1,0,visible,"OMNIBOOK Flip 5 Core 7
\n
\n16gb ram
\n
\n512 ssd
\n
\n14 inch Touchscreen X360 2 in 1",,,,taxable,,1,,,0,0,,,,,1,,,105000,"Laptops > EX-UK, Laptops",,,"https://shopictgadgets.co.ke/wp-content/uploads/2026/02/i1.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/i2.jpg",,,,,,,,,0,OMNIBOOK,11,301,both,,
310,simple,,,"OMNIBOOK Flip 5 Core 5  8gb ram / 512 ssd",1,0,visible,"OMNIBOOK Flip 5 Core 5
\n8gb ram
\n
\n512 ssd
\n
\n14 inch Touchscreen X360 2 in 1",,,,taxable,,1,,,0,0,,,,,1,,,80000,"Laptops > EX-UK, Laptops",,,"https://shopictgadgets.co.ke/wp-content/uploads/2026/02/j1.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/j2.jpg",,,,,,,,,0,OMNIBOOK,12,301,both,,
315,simple,,,"Hp AIO 27 Inch 13-th Ci7 16/512 ssd",1,0,visible,"<ul class=""gs_cit_stry_pre gs_cit_stry_sm"">
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">Processor</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">Intel </span><span class=""gs_tkn"">Core </span><span class=""gs_tkn"">i7-13th </span><span class=""gs_tkn"">Gen</span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">RAM</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">16GB </span><span class=""gs_tkn"">DDR4</span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">Storage</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">512GB </span><span class=""gs_tkn"">SSD</span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">Display</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">27-inch </span><span class=""gs_tkn"">Full </span><span class=""gs_tkn"">HD </span><span class=""gs_tkn"">(1920 </span><span class=""gs_tkn"">x </span><span class=""gs_tkn"">1080)</span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">Graphics</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">Intel </span><span class=""gs_tkn"">Integrated </span><span class=""gs_tkn"">Graphics</span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_cit_txt"" tabindex=""-1"" data-sups=""1,2,3,4,5,6"" data-hover-id=""1""><span class=""gs_tkn"">Additional </span><span class=""gs_tkn"">Features</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">Tiltable </span><span class=""gs_tkn"">priva</span></span><span class=""gs_cit_txt"" tabindex=""-1"" data-sups=""1,2,3,4,5,6"" data-hover-id=""1""><span class=""gs_tkn"">cy </span></span><span class=""gs_cit_txt"" tabindex=""-1"" data-sups=""1,2,3,4,5,6"" data-hover-id=""1""><span class=""gs_tkn"">camera, </span><span class=""gs_tkn"">dual </span><span class=""gs_tkn"">microphones</span></span></div></li>
\n</ul>",,,,taxable,,1,,,0,0,,,,,1,,,145000,Desktops,,,"https://shopictgadgets.co.ke/wp-content/uploads/2026/02/a1-1.jpg, https://shopictgadgets.co.ke/wp-content/uploads/2026/02/a2-1.jpg",,,,,,,,,0,HP,11,301,both,39,
320,simple,,,"Hp AIO 27 Inch Non Touch",1,0,visible,"<ul class=""gs_cit_stry_pre gs_cit_stry_sm"">
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">Display</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">27-inch </span><span class=""gs_tkn"">Full </span><span class=""gs_tkn"">HD </span><span class=""gs_tkn"">(1920 </span><span class=""gs_tkn"">x </span><span class=""gs_tkn"">1080) </span><span class=""gs_tkn"">display.</span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">Processor</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">Intel </span><span class=""gs_tkn"">Core </span><span class=""gs_tkn"">Ultra </span><span class=""gs_tkn"">7-155U </span><span class=""gs_tkn"">or </span><span class=""gs_tkn"">Intel </span><span class=""gs_tkn"">Core </span><span class=""gs_tkn"">i7-1355U.</span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">RAM</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">8GB </span><span class=""gs_tkn"">or </span><span class=""gs_tkn"">16GB </span><span class=""gs_tkn"">RAM </span><span class=""gs_tkn"">available.</span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">Storage</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">512GB </span><span class=""gs_tkn"">SSD </span><span class=""gs_tkn"">or </span><span class=""gs_tkn"">1TB </span><span class=""gs_tkn"">SSD </span><span class=""gs_tkn"">options.</span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_cit_txt"" tabindex=""-1"" data-sups=""1,2"" data-hover-id=""1""><span class=""gs_tkn"">Operating </span><span class=""gs_tkn"">System</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">Windows </span><span class=""gs_tkn"">11 </span><span class=""gs_tkn"">Home.</span></span></div></li>
\n</ul>",,,,taxable,,1,,,0,0,,,,,1,,,121000,Desktops,,,https://shopictgadgets.co.ke/wp-content/uploads/2026/02/a3.jpg,,,,,,,,,0,HP,10,301,both,39,2026-02-19
324,simple,,,"Hp AIO  24 Inch 13-th Ci7 16/512 ssd Touch Screen",1,0,visible,"<ul class=""gs_cit_stry_pre gs_cit_stry_sm"">
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">Processor</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">Intel </span><span class=""gs_tkn"">Core </span><span class=""gs_tkn"">i7-13th </span><span class=""gs_tkn"">Gen </span><span class=""gs_tkn"">(1355U </span><span class=""gs_tkn"">or </span><span class=""gs_tkn"">i7-1165G7) </span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">Memory</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">16GB </span><span class=""gs_tkn"">DDR4-3200 </span><span class=""gs_tkn"">MHz </span><span class=""gs_tkn"">RAM </span><span class=""gs_tkn"">(2 </span><span class=""gs_tkn"">x </span><span class=""gs_tkn"">8 </span><span class=""gs_tkn"">GB).</span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">Storage</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">512GB </span><span class=""gs_tkn"">SSD </span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">Display</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">24-inch </span><span class=""gs_tkn"">Full </span><span class=""gs_tkn"">HD </span><span class=""gs_tkn"">(1920 </span><span class=""gs_tkn"">x </span><span class=""gs_tkn"">1080) </span><span class=""gs_tkn"">touchscreen </span><span class=""gs_tkn"">with </span><span class=""gs_tkn"">anti-glare </span><span class=""gs_tkn"">and </span><span class=""gs_tkn"">anti-flicker </span><span class=""gs_tkn"">technology.</span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_tkn"">Graphics</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">Integrated </span><span class=""gs_tkn"">Intel </span><span class=""gs_tkn"">Iris </span><span class=""gs_tkn"">Xᵉ </span><span class=""gs_tkn"">Graphics.</span></div></li>
\n 	<li class=""gs_tkn"">
\n<div class=""gs_p""><span class=""gs_cit_txt"" tabindex=""-1"" data-sups=""1,2,3,4,5,6"" data-hover-id=""1""><span class=""gs_tkn"">Connectivity</span><span class=""gs_tkn"">: </span><span class=""gs_tkn"">Wi-Fi, </span><span class=""gs_tkn"">Bluetooth, </span><span class=""gs_tkn"">HDMI, </span><span class=""gs_tkn"">USB </span><span class=""gs_tkn"">ports</span></span></div></li>
